MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
367702220,2022-03-31T00:00:01,29.78763,-95.0807,0.1,226.5,340,JOE B WARD,,WDI4808,31,12,21,8,,57,A
671226100,2022-03-31T00:00:01,25.77626,-80.2032,3.2,143.7,511,RELIANCE II,IMO9221322,5VHS7,79,0,52,12,2.5,70,A
367767250,2022-03-31T00:00:01,29.31623,-94.78829,4.5,228.1,511,GLEN K,,WDJ3358,52,0,0,0,0,52,A
338327436,2022-03-31T00:00:03,47.29634,-122.42233,0,360,511,COOL KAT,IMO0000000,,36,,15,3,,,B
367452810,2022-03-31T00:00:06,29.32824,-94.77391,2.6,319.2,511,JOHN W JOHNSON,IMO9602344,WDF4516,60,0,80,19,3,60,A
367616350,2022-03-31T00:00:06,31.15502,-81.49931,0,13,511,THE NORM,IMO0000000,WDH4306,36,,13,8,,,B
367402540,2022-03-31T00:00:03,38.39598,-85.62818,4.1,22.8,511,GINGER MOLLER,,WDE8186,31,15,34,10,,31,A
366919770,2022-03-31T00:00:09,48.74428,-122.49504,0,210.3,46,LYNN MARIE,IMO9253583,WDB6192,31,5,29,12,3.8,52,A
538006349,2022-03-31T00:00:09,48.48308,-125.05758,11.9,89.1,90,ALPHA ETHOS,IMO9723617,V7ME7,70,0,,,,70,A
367315790,2022-03-31T00:00:10,45.5735,-122.46526,9.7,308.5,308,LORI B,,WDD9745,31,0,17,9,,31,A
366918650,2022-03-31T00:00:00,32.08183,-81.0654,0.1,177.2,511,POINT CLEAR,IMO8972948,WDB6128,31,0,30,10,,52,A
311000966,2022-03-31T00:00:00,18.55833,-66.4791,17.5,274.5,274,KYDON,IMO8916607,C6EP8,60,0,192,27,6.4,60,A
368040430,2022-03-31T00:00:03,27.50168,-82.57269,0.6,251.2,511,SEA SEEKER,IMO0000000,WDK2948,36,,13,6,,,B
367375730,2022-03-31T00:00:05,29.36345,-94.90856,0,301.3,271,VICKIE GATES,,WDE6092,31,12,22,9,0,31,A
338410861,2022-03-31T00:00:05,47.80646,-122.39279,0,31.7,511,LILY B.,IMO0000000,,37,,8,2,,,B
316007566,2022-03-31T00:00:08,49.19279,-122.92069,0.1,239.6,511,PORT FRASER,,CZ3230,37,15,11,3,1.5,57,A
338424624,2022-03-31T00:00:09,29.55824,-95.02928,0.2,219.8,511,BILLFISHER,IMO0000000,,30,,17,5,,,B
367015950,2022-03-31T00:00:09,29.26563,-89.35339,0,193.8,511,CAPT JACK,,WDC3898,31,0,14,5,,52,A
367121850,2022-03-31T00:00:15,32.58144,-91.12419,9.5,130.3,128,LELAND SPEAKES,,WDD2945,31,15,45,13,,32,A
338233531,2022-03-31T00:00:15,47.62901,-122.39115,0.4,360,511,CATALYST,IMO0000000,,36,,14,4,,,B
368206360,2022-03-31T00:00:00,47.60131,-122.33908,0,105.2,58,COMMANDER,,WDM4430,40,0,43,13,1.7,40,A
368004920,2022-03-31T00:00:01,39.78632,-91.36278,4.7,7.2,511,SIR RICHARD,,WDJ7255,31,0,,,,31,A
219028420,2022-03-31T00:00:01,28.66703,-93.59339,9.5,129.4,129,TORM CORRIDO,IMO9411305,OZNT2,89,0,182,32,10.8,89,A
